01.01.10,01.01.20,01.02.10,01.02.20,01.02.30,01.02.40,01.03.10,01.03.20,01.03.30,01.04.10,01.20.10,01.20.20,01.61.10,01.81.10,01.81.20,01.82.10,01.82.20,01.82.30,01.83.10,01.83.20,01.83.30,01.84.10,01.85.10,01.86.10,01.88.10,01.88.20,01.H,02.01.10,02.01.20,02.02.10,02.02.20,02.02.30,02.02.40,02.03.10,02.03.20,02.03.30,02.04.10,02.62.10,02.81.10,02.81.20,02.82.10,02.82.20,02.82.30,02.83.10,02.83.20,02.83.30,02.84.10,02.85.10,02.86.10,02.H,03.01.10,03.01.20,03.02.10,03.02.20,03.02.30,03.02.40,03.03.10,03.03.20,03.03.30,03.04.10,03.62.10,03.81.10,03.81.20,03.82.10,03.82.20,03.82.30,03.83.10,03.83.20,03.83.30,03.84.10,03.85.10,03.86.10,03.H,04.05.10,04.63.10,04.64.10,04.65.10,04.82.10,04.82.20,04.82.30,04.83.10,04.83.20,04.83.30,04.84.10,04.85.10,04.86.10,04.88.10,04.88.20,04.H,05.01.10,05.01.20,05.02.10,05.02.20,05.02.30,05.02.40,05.03.10,05.03.20,05.03.30,05.04.10,05.06.10,05.06.20,05.06.30,05.07.10,05.07.20,05.07.30,05.07.40,05.15.10,05.81.10,05.81.20,05.82.10,05.82.20,05.82.30,05.83.10,05.83.20,05.83.30,05.84.10,05.85.10,05.86.10,05.H,06.08.10,06.08.20,06.08.30,06.81.10,06.81.20,06.82.10,06.82.20,06.82.30,06.83.10,06.83.20,06.83.30,06.84.10,06.85.10,06.86.10,06.88.10,06.H,07.66.20,07.67.10,07.67.20,07.68.10,07.69.10,07.70.10,07.71.10,07.71.20,07.80.10,07.80.20,07.87.10,07.88.10,07.88.20,07.H,08.09.10,08.09.20,08.10.10,08.10.20,08.10.30,08.11.10,08.11.15,08.11.20,08.11.30,08.11.40,08.11.50,08.11.60,08.11.70,08.11.80,08.11.90,08.12.10,08.13.10,08.13.20,08.13.30,08.13.40,08.13.50,08.14.10,08.14.20,08.72.10,08.75.10,08.83.10,08.83.20,08.83.30,08.84.10,08.85.10,08.86.10,08.88.10,08.88.20,08.H,09.01.10,09.01.20,09.02.10,09.02.20,09.02.30,09.02.40,09.03.10,09.03.20,09.03.30,09.81.10,09.81.20,09.82.10,09.82.20,09.82.30,09.83.10,09.83.20,09.83.30,09.84.10,09.85.10,09.86.10,09.89.10,09.H,10.39.10,10.39.20,10.39.30,10.83.10,10.83.20,10.83.30,10.84.10,10.85.10,10.86.10,10.H,11.32.10,11.33.10,11.82.10,11.82.20,11.82.30,11.83.10,11.83.20,11.83.30,11.84.10,11.85.10,11.86.10,11.H,12.35.10,12.35.20,12.35.30,12.35.40,12.35.50,12.35.60,12.35.70,12.36.10,12.82.10,12.82.20,12.82.30,12.83.10,12.83.20,12.83.30,12.85.10,12.86.10,12.H,13.31.10,13.31.20,13.31.30,13.38.10,13.38.20,13.82.10,13.82.20,13.82.30,13.H
8940402024,999993653,Suzanne,,van der,Stappen,20011229,0141,6030,V,,,E,0772,1AA0280,,,,,,,,20011229,20011230,,,,,,Lisette,,,Béamont,19020320,Clermont-Ferrand,5002,V,20011229,0772,1AA0280,,,,,,,,20011229,20011230,,,,Guîllaumé,,,Moulin,19030315,Toulon,5002,M,20011229,0772,1AA0280,,,,,,,,20011229,20011230,,0399,301,,,,,,,,,,20011229,20011230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20011229,0772,0,,,0004,20160901171500000,P,,,,0772,20011229,W,,20011229,Jan van Galenlaan,Jan van Galenlaan,15,b,,,1107KL,Eindhoven,0772010010016001,0772200010016001,,,,,,,,,A,,,,,,20011229,2001130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8320968431,999990639,Mattheus,,du,Burck,19220925,1111,6030,M,,,E,,,0762,19940930,PKA,,,,,19220925,19951001,,,,3864675131,999991425,Maria Christina,,,Ophuijsen,18991210,1265,6030,V,19220925,,,0762,19990721,PL gerelateerde,,,,,19990721,19990721,52,4504839245,999994803,Johannes Laurens,,du,Burck,19010202,1265,6030,M,19220925,,,0762,19990721,PL gerelateerde,,,,,19990721,19990721,53,0001,001,,,,,,,,,,19220925,19940930,,,,9625081607,999993239,Johanna Dingena,,,Maassen,19250831,1033,6030,V,19500115,0772,6030,,,,,H,,,0762,19940930,PK,,,,,19500115,19951001,,,,,,,,,,,,,,,,,,,,,19940930,0762,0,,,0002,20160901132009000,P,,,,0518,19960319,W,,19960319,Zeeruststraat,,132,,,,2584BZ,,,,,,,,,,,,P,,,,,,19960319,19960320,,,58,5281235313,999992387,Caroline Ilse,,du,Burck,19501111,0762,6030,,,0762,20030709,PL gerelateerde,,,,,20030709,20030709,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3864675131,,Maria Christina,,,Ophuijsen,18991210,1265,6030,V,19220925,,,0762,19940930,PK,,,,,19220925,19940930,,4504839245,,Johannes Laurens,,du,Burck,19010202,1265,6030,M,19220925,,,0762,19940930,PK,,,,,19220925,19940930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0762,19500116,W,,19770318,Maassingel,,108,,,,5751VR,,,,,,,,,,,,A,,,,,,19770318,19940930,,,,5281235313,,Caroline Ilse,,du,Burck,19501111,0762,6030,,,0762,19940930,PK,,,,,19501111,19940930,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6870409730,999994736,Karin Monique,,du,Burck,19511223,0762,6030,,,0762,19990714,PL gerelateerde,,,,,19990714,19990714,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6870409730,,Karin Monique,,du,Burck,19511223,0762,6030,,,0762,19940930,PK,,,,,19511223,19940930,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198167216,999994773,Sasja,,du,Burck,19570831,0762,6030,,,0762,19940930,PK,,,,,19570831,19951001,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014364920,999993136,Carsten Antonius,,du,Burck,19530411,0762,6030,,,0762,19940930,PK,,,,,19530411,19951001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6940397872,999993872,Peter-Jan,,van der,Meijden,19590417,0947,6030,M,,,E,,,0599,19940310,PKA,,,,,19590417,19951001,,,,,,Martha,,,Molenaar,19400124,0599,6030,V,19590417,,,0599,19940310,PK,,,,,19590417,19940310,,,,Arjan,,van der,Meijden,19400809,0947,6030,M,19590417,,,0599,19940310,PK,,,,,19590417,19940310,,0001,001,,,,,,,,,,19590417,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19940310,0599,3,,,0004,20160901171500000,P,,,,0599,19910201,W,,19980401,Goudsesingel,Goudsesingel,72,,,,3011KD,Rotterdam,0599010055007301,0599200055007301,,,,,,,,,T,,,,,,20110205,20110205,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PN,IVJ854032,20090227,B0599,20140227,,,,0599,20090309,Aanvraagformulier,,,,20090227,20090309,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0599,19910201,W,,19980401,Goudsesingel,,72,,,,3011KD,,,,,,,,,,,,A,,,,,,19980401,19980401,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0599,19910201,W,,19910201,Dorpsweg,,54,,,,3083LC,,,,,,,,,,,,A,,,,,,19910201,19940310,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
